stop_id,stop_name,lat,lon,dist_from_lodz_km,reason,confidence
1800014,Rogów Strażacka kier. Rogów PKP,51.817667,19.896722,30.93,"rural, 30.9 km from Łódź",medium
1800016,Rogów Strażacka kier. Rawa Maz.,51.817583,19.896667,30.93,"rural, 30.9 km from Łódź",medium
1600087,Brudnów kier. Dalików,51.91707696,19.08576137,30.96,"rural, 31.0 km from Łódź",medium
1600078,Brudnów kier. Ozorków PKP,51.91721383,19.08576137,30.97,"rural, 31.0 km from Łódź",medium
1100046,Mauryca Wiadukt kier. Łask,51.561675,19.140322,30.98,"rural, 31.0 km from Łódź",medium
1100009,Mauryca Wiadukt kier. Szczerców,51.560731,19.140544,31.04,"rural, 31.0 km from Łódź",medium
1500003,Regny Jednostka Wojskowa kier. Będzelin,51.692277,19.894777,31.06,"rural, 31.1 km from Łódź",medium
1500032,Regny Jednostka Wojskowa kier. Budziszewice,51.692277,19.894777,31.06,"rural, 31.1 km from Łódź",medium
1600055,Różyce 17 kier. Leźnica Wlk (Osiedle),51.972917,19.159389,31.34,"rural, 31.3 km from Łódź",medium
1600046,Różyce 2 kier. Ozorków PKP,51.975945,19.157861,31.66,"rural, 31.7 km from Łódź",medium
1100045,Czestków A kier. Łask,51.550856,19.142683,31.73,"rural, 31.7 km from Łódź",medium
1100010,Czestków A kier. Szczerców,51.550444,19.142719,31.77,"rural, 31.8 km from Łódź",medium
1600056,Różyce Żmijowe kier. Leźnica Wlk (Osiedle),51.979634,19.152369,32.22,"rural, 32.2 km from Łódź",medium
1100011,Czestków B kier. Szczerców,51.543575,19.144044,32.27,"rural, 32.3 km from Łódź",medium
1100044,Czestków B kier. Łask,51.543347,19.144114,32.28,"rural, 32.3 km from Łódź",medium
2200022,Wykno - przy przejeździe kolejowym,51.66324261,19.90256783,32.5,"rural, 32.5 km from Łódź",medium
46912,Kamień Łowicki,51.98876,19.753123,32.63,"rural, 32.6 km from Łódź",medium
1100043,Czestków F Kapliczka kier. Łask,51.537619,19.145269,32.71,"rural, 32.7 km from Łódź",medium
47548,Wykno,51.660522,19.904797,32.75,"rural, 32.7 km from Łódź",medium
1100012,Czestków F Kapliczka kier. Szczerców,51.536927,19.145455,32.76,"rural, 32.8 km from Łódź",medium
1800019,Strzelna kier. Rawa Maz.,51.810083,19.927584,32.86,"rural, 32.9 km from Łódź",medium
1800012,Strzelna kier. Rogów PKP,51.81025,19.928584,32.93,"rural, 32.9 km from Łódź",medium
47332,Przyłęk Duży,51.84123,19.917544,32.95,"rural, 33.0 km from Łódź",medium
47787,Moszczenica,51.503222,19.700313,33.05,"rural, 33.1 km from Łódź",medium
1100042,Czestków F kier. Łask,51.531681,19.146297,33.16,"rural, 33.2 km from Łódź",medium
